نوع الامتياز الجبائي;القطاع المستهدف;تفاصيل الامتياز (الشروط والنسب)
طرح المداخيل أو الأرباح بعنوان الاستغلال من أساس الضريبة;"الفلاحة والصيد البحري وتربية
الأحياء المائية ";"طرح كل ي للمداخيل والأرباح المتأتية من الاستثمارات من أساس الضريبة في ال 10 سنوات الأولى ابتداء من تاريخ الدخول طور النشاط الفعلي.
أما بعد استيفاء مد ة الطرح الكلي يتم:
- طرح ثلثي المداخيل من أساس الضريبة،
- دفع ضريبة نسبتها 10 % من الأرباح."
طرح المداخيل أو الأرباح بعنوان الاستغلال من أساس الضريبة;"الخدمات والتحويل الأ ولي
(داخل مناطق التنمية الجهوية)";"طرح كلي للمداخيل والأرباح المتأتية من الاستثمارات من أساس الضريبة ال 5 سنوات الأولى ابتداء من تاريخ الدخول طور النشاط الفعلي بالنسبة للمجموعة الأولى من مناطق التنمية الجهوية وال 10 سنوات الأولى بالنسبة للمجموعة الثانية من مناطق التنمية الجهوية.
بعد استيفاء مد ة الطرح الكلي يتم:
- طرح ثلثي المداخيل من أساس الضريبة،
- دفع ضريبة نسبتها 10 %من الأرباح."
طرح المداخيل أو الأرباح بعنوان الاستغلال من أساس الضريبة;" الخدمات والتحويل الأ ولي
(خارج مناطق التنمية الجهوية)";" طرح ثلثي المداخيل المتأتية من التصدير من أساس الضريبة،
 دفع ضريبة نسبتها 10 % من الأرباح المتأتية من التصدير."
طرح المداخيل أو الأرباح بعنوان الاستغلال من أساس الضريبة;"الخدمات والتحويل الأ ولي
(خارج مناطق التنمية الجهوية)";"طرح المداخيل أو الأرباح المتأتية من الاستغلال من أساس الضريبة بالنسبة للمؤسسات جديدة الإحداث خلال مد ة الأربع  سنوات الأولى من النشاط وذلك كما يلي:
- إعفاء 100 % من المداخيل أو الأرباح في السنة الأولى،
- إعفاء 75 % من المداخيل أو الأرباح في السنة الثانية،
- إعفاء 50 % من المداخيل أو الأرباح في السنة الثالثة،
- إعفاء 25 % من المداخيل أو الأرباح في السنة الرابعة."
طرح المداخيل أو الأرباح بعنوان إعادة الاستثمار خارج المؤسسة في الاكتتاب في رأس المال الأصلي أو الترفيع فيه من أساس الضريبة;"الفلاحة والصيد البحري وتربية الأحياء المائية،
- الخدمات والتحويل الأولي داخل مناطق التنمية الجهوية";طرح كلي للمداخيل والأرباح المعاد استثمارها خارج المؤسسة في الاكتتاب في رأس المال الأصلي أو الترفيع فيه من أساس الضريبة في حدود المداخيل أو الأرباح الخاضعة للضريبة.
طرح المداخيل أو الأرباح بعنوان إعادة الاستثمار خارج المؤسسة في الاكتتاب في رأس المال الأصلي أو الترفيع فيه من أساس الضريبة;الفلاحة والصيد البحري وتربية الأحياء المائية والخدمات والتحويل الأولي;طرح المداخيل أو الأرباح المعاد استثمارها خارج المؤسسة في الاكتتاب في رأس المال الأصلي أو الترفيع فيه في المؤسسات المصدرة كليا أو في القطاعات المجد دة من أساس الضريبة في حدود الأرباح الخاضعة للضريبة مع مراعاة الضريبة الدنيا.
طرح المداخيل أو الأرباح بعنوان إعادة الاستثمار خارج المؤسسة في الاكتتاب في رأس المال الأصلي أو الترفيع فيه من أساس الضريبة;الفلاحة والصيد البحري وتربية الأحياء المائية والخدمات والتحويل الأولي;طرح كلي وفي حدود الدخل أو الربح الخاضع للضريبة للمداخيل أو الأرباح المعاد استثمارها في الاكتتاب في رأس المال  الأصلي أو في الترفيع فيه للمؤسسات المحدثة من قبل الشبان أصحاب الشهائد العليا الذين لا تتجاوز أعمارهم 30 سنة في تاريخ تكوين الشركة والذين يتحملون مسؤولية التصرف في المشروع بصفة شخصية ودائمة مع مراعاة الضريبة الدنيا.
طرح المداخيل أو الأرباح بعنوان إعادة الاستثمار خارج المؤسسة في الاكتتاب في رأس المال الأصلي أو الترفيع فيه من أساس الضريبة;"الفلاحة والصيد البحري وتربية الأحياء المائية والخدمات والتحويل الأ ولي داخل مناطق التنمية الجهوية بصرف النظر عن الضريبة الدنيا،
- الخدمات والتحويل الأولي خارج مناطق التنمية الجهوية مع مراعاة الضريبة الدنيا.";طرح كلي للمداخيل أوالأرباح المكتتبة في رأس مال شركات الاستثمار ذات رأس مال تنمية أو الموظفة لديها في شكل صناديق ذات رأس مال تنمية، من أساس الضريبة في حدود المداخيل أو الأرباح الخاضعة للضريبة
توقيف العمل بالآداء على القيمة المضافة;الفلاحة والصيد البحري وتربية الأحياء المائية.;"توقيف العمل بالأداء على القيمة المضافة بالنسبة لعمليات التوريد للتجهيزات التي ليس لها مثيل مصنوع محليا الواردة بالقائمة عدد 3
التخفيض في نسبة الآداء على القيمة المضافة إلى 6% بالنسبة لعمليات التوريد للتجهيزات التي ليس لها مثيل مصنوع محليا الواردة بالقائمة عدد 1
توقيف العمل بالأداء على القيمة المضافة بالنسبة للاقتناء المحلي للتجهيزات اللازمة للاستثمار الواردة بالقائمة عدد 4"
توقيف العمل بالآداء على القيمة المضافة;الخدمات والتحويل الأ و لي.;"التخفيض في نسبة الآداء على القيمة المضافة إلى 6% بالنسبة لعمليات التوريد للتجهيزات التي ليس لها مثيل مصنوع محليا الواردة بالقائمة عدد 1
توقيف العمل بالأداء على القيمة المضافة بالنسبة لعمليات اقتناء التجهيزات المصنوعة محليا اللازمة لاستثمارات الإحداث المقتناة قبل الدخول طور النشاط الفعلي )القائمة عدد 2 والتخفيض في نسبة الآداء على القيمة المضافة إلى 6% في الحالات الأخرى."
توقيف العمل بالآداء على القيمة المضافة;الفلاحة والصيد البحري وتربية الأحياء المائية والخدمات والتحويل الأولي;توقيف العمل بالأداء على القيمة المضافة للمؤسسات المصدرة كليا بالنسبة إلى التوريد والاقتناء المحلي للمواد والمنتجات والتجهيزات وعمليات إسداء الخدمات اللازمة لنشاطها والتي تمنح حق الطرح.
توقيف العمل بالآداء على القيمة المضافة;الفلاحة والصيد البحري وتربية الأحياء المائية والخدمات والتحويل الأولي;توقيف العمل بالأداء على القيمة المضافة لعمليات التصدير بالنسبة إلى التوريد والاقتناء المحلي للمواد والمنتجات وعمليات إسداء الخدمات التي تمنح حق الطرح واللازمة لإنجاز عمليات التصدير.
الإعفاء من المعاليم الديوانية;الفلاحة والصيد البحري وتربية الأحياء المائية; إعفاء من المعاليم الديوانية للتجهيزات المو ردة التي ليس لها مثيل مصنوع محليا
الإعفاء من المعاليم الديوانية;الخدمات والتحويل الأولي;إعفاء من المعاليم الديوانية للتجهيزات المو ردة التي ليس لها مثيل مصنوع محليا
معاليم التسجيل الموظفة على اقتناء الأراضي الفلاحية;;التسجيل بالمعلوم القا ر لعقود شراء الأراضي الفلاحية بالنسبة للمنتفعين بقروض عقارية ) 20 دينار على كل صفحة(
معاليم التسجيل الموظفة على اقتناء الأراضي الفلاحية;;استرجاع معاليم التسجيل الموظفة على عمليات اقتناء الأراضي الفلاحية المخصصة لإنجاز استثمارات مع ضرورة تقديم مطلب في غضون 3 سنوات من تاريخ العقد وإيداع تصريح بالاستثمار لدى المصالح المعنية
